estado,producto,count,rank
HIDALGO,CHILES EN LATA,11803,10
JALISCO,REFRESCO,81718,1
JALISCO,LECHE ULTRAPASTEURIZADA,81149,2
JALISCO,DETERGENTE P/ROPA,73854,3
JALISCO,FUD,61680,4
JALISCO,CHILES EN LATA,55783,5
JALISCO,JABON DE TOCADOR,55196,6
JALISCO,SHAMPOO,54409,7
JALISCO,MAYONESA,53886,8
JALISCO,DESODORANTE,46335,9
JALISCO,TOALLA FEMENINA,46019,10
MICHOACÁN DE OCAMPO,DETERGENTE P/ROPA,40144,1
MICHOACÁN DE OCAMPO,REFRESCO,38016,2
MICHOACÁN DE OCAMPO,LECHE ULTRAPASTEURIZADA,31175,3
MICHOACÁN DE OCAMPO,CHILES EN LATA,25054,4
MICHOACÁN DE OCAMPO,JABON DE TOCADOR,24587,5
MICHOACÁN DE OCAMPO,MAYONESA,23988,6
MICHOACÁN DE OCAMPO,LAVADORAS,23886,7
MICHOACÁN DE OCAMPO,SHAMPOO,22475,8
MICHOACÁN DE OCAMPO,FUD,21763,9
MICHOACÁN DE OCAMPO,COMPONENTES DE AUDIO,20297,10
MORELOS,REFRESCO,9632,1
MORELOS,FUD,6909,2
MORELOS,DETERGENTE P/ROPA,5829,3
MORELOS,LAVADORAS,5485,4
MORELOS,PANTALLAS,4989,5
MORELOS,SHAMPOO,4908,6
MORELOS,REFRIGERADORES,4647,7
MORELOS,LECHE ULTRAPASTEURIZADA,4539,8
MORELOS,DESODORANTE,4521,9
MORELOS,JABON DE TOCADOR,4500,10
MÉXICO,REFRESCO,194939,1
MÉXICO,FUD,149141,2
MÉXICO,DETERGENTE P/ROPA,132862,3
MÉXICO,LECHE ULTRAPASTEURIZADA,116522,4
MÉXICO,JABON DE TOCADOR,97330,5
MÉXICO,YOGHURT,94852,6
MÉXICO,MAYONESA,94286,7
MÉXICO,CHILES EN LATA,92539,8
MÉXICO,SHAMPOO,92307,9
MÉXICO,CERVEZA,91747,10
NAYARIT,REFRESCO,8003,1
NAYARIT,PANTALLAS,7083,2
NAYARIT,FUD,6644,3
NAYARIT,LAVADORAS,6549,4
NAYARIT,DETERGENTE P/ROPA,5514,5
NAYARIT,COMPONENTES DE AUDIO,4999,6
NAYARIT,SHAMPOO,4975,7
NAYARIT,JABON DE TOCADOR,4680,8
NAYARIT,REFRIGERADORES,4578,9
NAYARIT,PLANCHAS,4509,10
NUEVO LEÓN,DETERGENTE P/ROPA,50307,1
NUEVO LEÓN,REFRESCO,49592,2
NUEVO LEÓN,LECHE ULTRAPASTEURIZADA,43803,3
NUEVO LEÓN,CHILES EN LATA,40561,4
NUEVO LEÓN,SHAMPOO,39827,5
NUEVO LEÓN,JABON DE TOCADOR,38442,6
NUEVO LEÓN,MAYONESA,37607,7
NUEVO LEÓN,FUD,37200,8
NUEVO LEÓN,TOALLA FEMENINA,32895,9
NUEVO LEÓN,DESODORANTE,31875,10
OAXACA,LECHE ULTRAPASTEURIZADA,18078,1
OAXACA,REFRESCO,14501,2
OAXACA,DETERGENTE P/ROPA,14396,3
OAXACA,FUD,13850,4
OAXACA,LAVADORAS,12774,5
OAXACA,CHILES EN LATA,11053,6
OAXACA,COMPONENTES DE AUDIO,11026,7
OAXACA,JABON DE TOCADOR,10564,8
OAXACA,SHAMPOO,10361,9
OAXACA,PANTALLAS,10325,10
PUEBLA,REFRESCO,31597,1
PUEBLA,LAVADORAS,27076,2
PUEBLA,LECHE ULTRAPASTEURIZADA,24864,3
PUEBLA,DETERGENTE P/ROPA,24078,4
PUEBLA,FUD,20397,5
PUEBLA,PLANCHAS,19547,6
PUEBLA,JABON DE TOCADOR,19229,7
PUEBLA,REFRIGERADORES,19150,8
PUEBLA,PANTALLAS,19009,9
PUEBLA,COMPONENTES DE AUDIO,18907,10
QUERÉTARO,LECHE ULTRAPASTEURIZADA,27868,1
QUERÉTARO,DETERGENTE P/ROPA,26700,2
QUERÉTARO,REFRESCO,25494,3
QUERÉTARO,LAVADORAS,20625,4
QUERÉTARO,FUD,19574,5
QUERÉTARO,JABON DE TOCADOR,19544,6
QUERÉTARO,SHAMPOO,19417,7
QUERÉTARO,CHILES EN LATA,18556,8
QUERÉTARO,COMPONENTES DE AUDIO,16619,9
QUERÉTARO,DESODORANTE,16269,10
QUINTANA ROO,FUD,34846,1
QUINTANA ROO,REFRESCO,34367,2
QUINTANA ROO,LAVADORAS,32347,3
QUINTANA ROO,LECHE ULTRAPASTEURIZADA,31155,4
QUINTANA ROO,DETERGENTE P/ROPA,28691,5
QUINTANA ROO,COMPONENTES DE AUDIO,24836,6
QUINTANA ROO,PANTALLAS,24718,7
QUINTANA ROO,PLANCHAS,24526,8
QUINTANA ROO,SHAMPOO,24414,9
QUINTANA ROO,REFRIGERADORES,24096,10
SAN LUIS POTOSÍ,FUD,10164,1
SAN LUIS POTOSÍ,PANTALLAS,8662,2
SAN LUIS POTOSÍ,LAVADORAS,7934,3
SAN LUIS POTOSÍ,DETERGENTE P/ROPA,7380,4
SAN LUIS POTOSÍ,PLANCHAS,7260,5
SAN LUIS POTOSÍ,LECHE ULTRAPASTEURIZADA,7095,6
SAN LUIS POTOSÍ,REFRESCO,6940,7
SAN LUIS POTOSÍ,SHAMPOO,6738,8
SAN LUIS POTOSÍ,JABON DE TOCADOR,6389,9
SAN LUIS POTOSÍ,ESTUFAS,6266,10
SINALOA,REFRESCO,33115,1
SINALOA,DETERGENTE P/ROPA,27177,2
SINALOA,SHAMPOO,22435,3
SINALOA,LAVADORAS,21207,4
SINALOA,COMPONENTES DE AUDIO,20827,5
SINALOA,JABON DE TOCADOR,20122,6
SINALOA,LECHE ULTRAPASTEURIZADA,18645,7
SINALOA,PANTALLAS,17650,8
SINALOA,MAYONESA,17138,9
SINALOA,REFRIGERADORES,16475,10
SONORA,REFRESCO,34731,1
SONORA,DETERGENTE P/ROPA,31997,2
SONORA,SHAMPOO,24758,3
SONORA,JABON DE TOCADOR,23459,4
SONORA,CHILES EN LATA,21761,5
SONORA,MAYONESA,20210,6
SONORA,LAVADORAS,19217,7
SONORA,DESODORANTE,18399,8
SONORA,PANTALLAS,18304,9
SONORA,GALLETAS,18239,10
TABASCO,REFRESCO,28754,1
TABASCO,DETERGENTE P/ROPA,26431,2
TABASCO,LAVADORAS,26361,3
TABASCO,LECHE ULTRAPASTEURIZADA,25331,4
TABASCO,FUD,25004,5
TABASCO,VARIOS,21577,6
TABASCO,COMPONENTES DE AUDIO,21085,7
TABASCO,CHILES EN LATA,20949,8
TABASCO,JABON DE TOCADOR,19841,9
TABASCO,PLANCHAS,19808,10
TAMAULIPAS,REFRESCO,22457,1
TAMAULIPAS,FUD,21113,2
TAMAULIPAS,DETERGENTE P/ROPA,20291,3
TAMAULIPAS,SHAMPOO,19141,4
TAMAULIPAS,JABON DE TOCADOR,17167,5
TAMAULIPAS,CHILES EN LATA,16008,6
TAMAULIPAS,DESODORANTE,15994,7
TAMAULIPAS,CEREALES,15398,8
TAMAULIPAS,PANTALLAS,15180,9
TAMAULIPAS,MAYONESA,15014,10
TLAXCALA,REFRESCO,43904,1
TLAXCALA,DETERGENTE P/ROPA,41398,2
TLAXCALA,LECHE ULTRAPASTEURIZADA,32169,3
TLAXCALA,JABON DE TOCADOR,30977,4
TLAXCALA,SHAMPOO,30235,5
TLAXCALA,CHILES EN LATA,25479,6
TLAXCALA,MAYONESA,24884,7
TLAXCALA,ACEITE,23236,8
TLAXCALA,TOALLA FEMENINA,22565,9
TLAXCALA,LECHE EN POLVO,22034,10
VERACRUZ DE IGNACIO DE LA LLAVE,REFRESCO,14576,1
VERACRUZ DE IGNACIO DE LA LLAVE,LECHE ULTRAPASTEURIZADA,12051,2
VERACRUZ DE IGNACIO DE LA LLAVE,DETERGENTE P/ROPA,10345,3
VERACRUZ DE IGNACIO DE LA LLAVE,FUD,9482,4
VERACRUZ DE IGNACIO DE LA LLAVE,LAVADORAS,9231,5
VERACRUZ DE IGNACIO DE LA LLAVE,SHAMPOO,8830,6
VERACRUZ DE IGNACIO DE LA LLAVE,JABON DE TOCADOR,8405,7
VERACRUZ DE IGNACIO DE LA LLAVE,DESODORANTE,8213,8
VERACRUZ DE IGNACIO DE LA LLAVE,PANTALLAS,7814,9
VERACRUZ DE IGNACIO DE LA LLAVE,CHILES EN LATA,7658,10
YUCATÁN,LECHE ULTRAPASTEURIZADA,35991,1
YUCATÁN,DETERGENTE P/ROPA,33390,2
YUCATÁN,REFRESCO,33235,3
YUCATÁN,FUD,31885,4
YUCATÁN,LAVADORAS,27013,5
YUCATÁN,CHILES EN LATA,24472,6
YUCATÁN,MAYONESA,23629,7
YUCATÁN,SHAMPOO,23433,8
YUCATÁN,PLANCHAS,22816,9
YUCATÁN,LECHE EN POLVO,22696,10
ZACATECAS,DETERGENTE P/ROPA,20884,1
ZACATECAS,LECHE ULTRAPASTEURIZADA,17309,2
ZACATECAS,LAVADORAS,16072,3
ZACATECAS,MAYONESA,15927,4
ZACATECAS,JABON DE TOCADOR,15926,5
ZACATECAS,FUD,15541,6
ZACATECAS,SHAMPOO,15012,7
ZACATECAS,CHILES EN LATA,14866,8
ZACATECAS,COMPONENTES DE AUDIO,14799,9
ZACATECAS,REFRESCO,13925,10
estado,producto,20,1
